source_index,x,y,z,before_class,after_class,before_instance,after_instance,fusion_score,after_step05_type
793064,5.766519245667545,-1.3848088610366793,0.023612983213780393,3,4,84,0,0.5,5
1227638,6.066216991149361,-2.3504116382532776,0.029334716304412034,4,3,0,87,0.6499999761581421,0
1228278,6.065579148513725,-2.3504552361426096,0.02901483356027769,4,3,0,87,0.6499999761581421,0
1228587,6.065944041202458,-2.350971920618088,0.028953712859120045,4,3,0,87,0.6499999761581421,0
1228588,6.064951425938273,-2.3502028130638237,0.028955813853869673,4,3,0,87,0.6499999761581421,0
1229220,6.066094472385259,-2.351849041091943,0.02865574434345715,4,3,0,87,0.6499999761581421,0
1229221,6.0650391848507486,-2.3507279200597644,0.02882543053901656,4,3,0,87,0.6499999761581421,0
1229552,6.065949044063659,-2.352402672308819,0.0281871925563371,4,3,0,87,0.6499999761581421,0
1229864,6.065144614783691,-2.351653799296634,0.028927347876370108,4,3,0,87,0.6499999761581421,0
1230181,6.066040817632245,-2.3529443038029703,0.027485009365459154,4,3,0,87,0.6499999761581421,0
1230182,6.0646415413885135,-2.351758317983291,0.029052159566090793,4,3,0,87,0.6499999761581421,0
1230183,6.064223129285363,-2.350825487004685,0.028730227808777722,4,3,0,87,0.6499999761581421,0
1230477,6.065353465571452,-2.352986223716944,0.02753294439567324,4,3,0,87,0.6499999761581421,0
1230478,6.064799346191368,-2.3521979529677424,0.02903714978539814,4,3,0,87,0.6499999761581421,0
1230789,6.065387265219073,-2.353297758589629,0.027013076763476397,4,3,0,87,0.6499999761581421,0
1230790,6.06517641118675,-2.3525290250774264,0.028332609017336453,4,3,0,87,0.6499999761581421,0
1230791,6.064177100162202,-2.351909317176769,0.028902056946055868,4,3,0,87,0.6499999761581421,0
1231118,6.063280066614681,-2.3507243260822817,0.02857913298832053,4,3,0,87,0.6499999761581421,0
1231731,6.066283277893565,-2.35344075691006,0.02634044022420408,4,3,0,87,0.6499999761581421,0
1231732,6.065319448915392,-2.3534789595260164,0.026689011573980008,4,3,0,87,0.6499999761581421,0
1231733,6.064317264279104,-2.352571035214879,0.028307193646291882,4,3,0,87,0.6499999761581421,0
1231734,6.0630549821956805,-2.3519033157285616,0.028525971155729107,4,3,0,87,0.6499999761581421,0
1232045,6.064228197482438,-2.3535364681529702,0.026500990644093225,4,3,0,87,0.6499999761581421,0
1232046,6.064010762027532,-2.3530320527105006,0.027469608993725927,4,3,0,87,0.6499999761581421,0
1232385,6.063336367470587,-2.3524717689855374,0.028201477045346937,4,3,0,87,0.6499999761581421,0
1232386,6.062312856505033,-2.350576806160054,0.02829069795693486,4,3,0,87,0.6499999761581421,0
1232388,6.061914510682152,-2.345053549646091,0.029503450146252788,4,3,0,87,0.5,0
1232694,6.065142477367244,-2.3537626089962687,0.02574209658032941,4,3,0,87,0.6499999761581421,0
1232695,6.062261298333544,-2.351621540549077,0.028211902996605975,4,3,0,87,0.6499999761581421,0
1232992,6.0662272943833315,-2.3535716806993543,0.025351464584576378,4,3,0,87,0.6499999761581421,0
1232993,6.0641656115488045,-2.353817254501259,0.025412211584328437,4,3,0,87,0.6499999761581421,0
1232994,6.063349021629307,-2.352809223386256,0.0277468946490724,4,3,0,87,0.6499999761581421,0
1232995,6.0625119524134785,-2.352514243388531,0.028082448582506865,4,3,0,87,0.6499999761581421,0
1232996,6.061651698296113,-2.3506926095823677,0.027996874927795443,4,3,0,87,0.6499999761581421,0
1232997,6.061603492088297,-2.347035885070121,0.029060832816627427,4,3,0,87,0.5,0
1233325,6.063247161835189,-2.353391641786972,0.02643285552292205,4,3,0,87,0.6499999761581421,0
1233326,6.061633195409968,-2.3457613691617327,0.029155309788457782,4,3,0,87,0.5,0
1233327,6.061572952234098,-2.344980687159233,0.02907433799045877,4,3,0,87,0.5,0
1233635,6.066140898190511,-2.353633979785004,0.02454550631317759,4,3,0,87,0.6499999761581421,0
1233636,6.063291291551158,-2.353646046608608,0.025612850238365653,4,3,0,87,0.6499999761581421,0
1233637,6.063099979945402,-2.3532346239166824,0.02679221806595994,4,3,0,87,0.6499999761581421,0
1233638,6.0625048284698,-2.3528289428837503,0.02753943086144902,4,3,0,87,0.6499999761581421,0
1233639,6.061750951655547,-2.3517000712466687,0.02791132358840486,4,3,0,87,0.6499999761581421,0
1233640,6.0610335334256416,-2.3497489785359407,0.028047724922318246,4,3,0,87,0.5,0
1233956,6.065387458893271,-2.3538346046123118,0.02466724204740562,4,3,0,87,0.6499999761581421,0
1233957,6.0613063305332675,-2.350846965633331,0.027795057383070115,4,3,0,87,0.6499999761581421,0
1233958,6.060912999238709,-2.3501887073709455,0.02785373626306155,4,3,0,87,0.6499999761581421,0
1233959,6.061047929485428,-2.3480044649487586,0.028464048211494695,4,3,0,87,0.5,0
1234265,6.064511644337509,-2.3539608381408437,0.024509713413661684,4,3,0,87,0.6499999761581421,0
1234266,6.063117008107537,-2.353857681420676,0.02426016999016073,4,3,0,87,0.6499999761581421,0
1234267,6.061396712214396,-2.352410540793645,0.027253878006894133,4,3,0,87,0.6499999761581421,0
1234268,6.061275288992894,-2.351862665290676,0.02748511341611201,4,3,0,87,0.6499999761581421,0
1234269,6.061259919895272,-2.3487528124885197,0.028469446593894485,4,3,0,87,0.5,0
